start_country,end_country,start_lat,start_long,end_lat,end_long,count
Armenia,United States,40,45,0,0,99985.0
Senegal,"Gambia, The",14,-14,0,0,98366.0
Sierra Leone,Guinea,8.5,-11.5,11,-10,97669.0
Russian Federation,Lithuania,0,0,56,24,95737.0
Philippines,"Taiwan, China",0,0,0,0,95491.0
Jordan,United Arab Emirates,31,36,0,0,95315.0
Mozambique,Zimbabwe,-18.25,35,-20,30,95036.0
China,United Kingdom,35,105,0,0,94896.0
India,Australia,20,77,-27,133,94110.0
Iraq,United States,33,44,0,0,93991.0
Turkey,United States,39,35,0,0,93670.0
France,Portugal,46,2,39.5,-8,93565.0
Hungary,United States,47,20,0,0,93543.0
Bangladesh,United States,24,90,0,0,92655.0
Netherlands,Belgium,0,0,50.8333,4,92240.0
Reunion,France,0,0,46,2,91314.0
Peru,Argentina,-10,-76,-34,-64,91182.0
Azerbaijan,Ukraine,40.5,47.5,49,32,90753.0
West Bank and Gaza,Saudi Arabia,0,0,25,45,90715.0
Oman,West Bank and Gaza,21,57,0,0,90518.0
Mali,Nigeria,17,-4,10,8,90128.0
Armenia,Azerbaijan,40,45,40.5,47.5,89898.0
Poland,Israel,52,20,31.5,34.75,89706.0
Sri Lanka,Canada,7,81,60,-95,89335.0
Spain,Switzerland,40,-4,47,8,88369.0
Afghanistan,Kuwait,33,65,29.3375,47.6581,88350.0
Serbia and Montenegro,Croatia,0,0,45.1667,15.5,87639.0
"Egypt, Arab Rep.",West Bank and Gaza,0,0,0,0,87461.0
Turkey,Switzerland,39,35,47,8,87066.0
China,Germany,35,105,51,9,86998.0
United Kingdom,Spain,0,0,40,-4,86985.0
Saudi Arabia,West Bank and Gaza,25,45,0,0,86899.0
"Congo, Dem. Rep.",Uganda,0,0,1,32,86624.0
Kazakhstan,Kyrgyz Republic,48,68,0,0,86404.0
Georgia,Israel,42,43.5,31.5,34.75,86254.0
Lithuania,Russian Federation,56,24,0,0,86199.0
Philippines,Italy,0,0,42.8333,12.8333,85891.0
Iraq,Israel,33,44,31.5,34.75,85613.0
Chile,United States,-30,-71,0,0,85597.0
Lithuania,Poland,56,24,52,20,85576.0
Croatia,Austria,45.1667,15.5,47.3333,13.3333,85547.0
West Bank and Gaza,United Arab Emirates,0,0,0,0,85447.0
Morocco,Germany,32,-5,51,9,84619.0
Argentina,Spain,-34,-64,40,-4,83803.0
Netherlands Antilles,Netherlands,0,0,0,0,83538.0
Brazil,Paraguay,-10,-55,-23,-58,82987.0
Netherlands,Australia,0,0,-27,133,82545.0
United States,France,0,0,46,2,82181.0
Guyana,Canada,5,-59,60,-95,82057.0
China,Indonesia,35,105,-5,120,81323.0
Pakistan,Canada,30,70,60,-95,81236.0
"Korea, Rep.",Canada,0,0,60,-95,80541.0
Indonesia,United States,-5,120,0,0,79796.0
Belarus,Latvia,53,28,57,25,79328.0
Cyprus,United Kingdom,35,33,0,0,79291.0
Finland,France,64,26,46,2,79086.0
South Africa,Australia,-29,24,-27,133,79021.0
Virgin Islands (U.S.),United States,18.3333,-64.8333,0,0,78966.0
France,Canada,46,2,60,-95,78675.0
Serbia and Montenegro,Italy,0,0,42.8333,12.8333,78462.0
Bangladesh,Malaysia,24,90,2.5,112.5,77856.0
Spain,"Venezuela, RB",40,-4,0,0,77759.0
Malaysia,Australia,2.5,112.5,-27,133,77737.0
West Bank and Gaza,Kuwait,0,0,29.3375,47.6581,77686.0
Lithuania,United States,56,24,0,0,77169.0
Togo,Nigeria,8,1.1667,10,8,76914.0
"Iran, Islamic Rep.",United Arab Emirates,0,0,0,0,76907.0
Costa Rica,United States,10,-84,0,0,76623.0
Turkey,France,39,35,46,2,76505.0
Turkey,Saudi Arabia,39,35,25,45,76483.0
Lebanon,Kuwait,33.8333,35.8333,29.3375,47.6581,76410.0
Canada,United Kingdom,60,-95,0,0,76106.0
Tunisia,Italy,34,9,42.8333,12.8333,75808.0
China,Malaysia,35,105,2.5,112.5,75458.0
China,Italy,35,105,42.8333,12.8333,75109.0
Georgia,Germany,42,43.5,51,9,75104.0
Ghana,Cote d'Ivoire,8,-2,8,-5,75072.0
Czech Republic,Slovak Republic,0,0,0,0,74910.0
Greece,Canada,39,22,60,-95,74725.0
Australia,United States,-27,133,0,0,74459.0
Indonesia,"Taiwan, China",-5,120,0,0,74302.0
Mozambique,Portugal,-18.25,35,39.5,-8,74227.0
Guinea,Senegal,11,-10,14,-14,74213.0
Cote d'Ivoire,Mali,8,-5,17,-4,74193.0
Pakistan,France,30,70,46,2,74137.0
Kyrgyz Republic,Kazakhstan,0,0,48,68,73813.0
Czech Republic,United States,0,0,0,0,73623.0
Pakistan,Oman,30,70,21,57,73001.0
"Iran, Islamic Rep.",Canada,0,0,60,-95,72987.0
"Iran, Islamic Rep.",United Kingdom,0,0,0,0,72672.0
Burundi,Tanzania,-3.5,30,TZA,-6,72272.0
Nigeria,Cameroon,10,8,6,12,72187.0
Austria,United States,47.3333,13.3333,0,0,72126.0
Hungary,Germany,47,20,51,9,71830.0
Ethiopia,United States,8,38,0,0,71578.0
Serbia and Montenegro,Sweden,0,0,62,15,71180.0
Georgia,Ukraine,42,43.5,49,32,71015.0
Japan,Brazil,36,138,-10,-55,70837.0
Malaysia,"Hong Kong SAR, China",2.5,112.5,0,0,70681.0
Lebanon,Australia,33.8333,35.8333,-27,133,70359.0
United States,Israel,0,0,31.5,34.75,70135.0
Indonesia,Singapore,-5,120,1.3667,103.8,70008.0
France,Reunion,46,2,0,0,69863.0
Latvia,United States,57,25,0,0,69779.0
Vietnam,Germany,0,0,51,9,69517.0
Bosnia and Herzegovina,Slovenia,44,18,46,15,69279.0
"Macao SAR, China","Hong Kong SAR, China",0,0,0,0,69229.0
Singapore,"Hong Kong SAR, China",1.3667,103.8,0,0,68886.0
"Taiwan, China",Canada,0,0,60,-95,68789.0
Tajikistan,Uzbekistan,39,71,41,64,68534.0
