Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Africa,"Congo, Rep.",0.02232304442955533,"3,135,773",2000,"[('Afghanistan', 1.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Costa Rica,0.05399445802438265,"3,919,180",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Cote d'Ivoire,0.028522608692872778,"16,581,653",2000,"[('Afghanistan', 8.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Croatia,0.23339358337098962,"4,426,000",2000,"[('Afghanistan', 0.0), ('Albania', 13.0), ('Algeria', 5.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Cuba,0.0005886001232133857,"11,104,313",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Curacao,0.0,"133,860",2000,unknown,unknown
Europe,Cyprus,0.23144851976160136,"943,294",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 6.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Czech Republic,0.4230795140572891,"10,272,322",2000,"[('Afghanistan', 5.0), ('Albania', 1.0), ('Algeria', 14.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Denmark,0.6299239495873861,"5,339,616",2000,"[('Afghanistan', 3.0), ('Albania', 0.0), ('Algeria', 5.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Djibouti,0.00031423770032653394,"731,930",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Dominica,0.01722356183258698,"69,672",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
